Gene	RNA blood cell specificity	RNA cancer specificity
SPTSSB	Cell type enriched	Cancer enhanced
BORCS6	Low cell type specificity	Low cancer specificity
MAN2A2	Cell type enhanced	Low cancer specificity
MME	Cell type enriched	Low cancer specificity
FAM72A	Low cell type specificity	Low cancer specificity
CCDC196	Not detected	Low cancer specificity
CACNA1H	Not detected	Low cancer specificity
SULF2	Group enriched	Low cancer specificity
HBG2	Not detected	Not detected
LAMA2	Cell type enhanced	Low cancer specificity
PFN3	Not detected	Not detected
PLXNB2	Group enriched	Low cancer specificity
OR5AC2	Not detected	Not detected
AJAP1	Group enriched	Low cancer specificity
XRCC2	Low cell type specificity	Low cancer specificity
MYO6	Group enriched	Low cancer specificity
MKL1	Cell type enhanced	Low cancer specificity
MBD3L2B	Not detected	Not detected
HDAC2	Low cell type specificity	Low cancer specificity
ZNF782	Low cell type specificity	Low cancer specificity
SLC22A25	Not detected	Cancer enriched
POTEF	Not detected	Not detected
ZNF846	Low cell type specificity	Low cancer specificity
MMP1	Not detected	Cancer enhanced
ADH1B	Low cell type specificity	Cancer enriched
UGT2B15	Cell type enhanced	Cancer enriched
TCF4	Group enriched	Low cancer specificity
WNK3	Cell type enhanced	Low cancer specificity
SDHAF3	Low cell type specificity	Low cancer specificity
HRH1	Cell type enhanced	Low cancer specificity
RABL6	Low cell type specificity	Low cancer specificity
ZNF136	Low cell type specificity	Low cancer specificity
ZKSCAN5	Low cell type specificity	Low cancer specificity
ZNF502	Low cell type specificity	Low cancer specificity
TRAPPC4	Low cell type specificity	Low cancer specificity
TTC30B	Low cell type specificity	Low cancer specificity
SLC30A10	Not detected	Cancer enriched
TECPR2	Cell type enriched	Low cancer specificity
TLR7	Cell type enhanced	Low cancer specificity
FAM180B	Cell type enriched	Cancer enhanced
ZFP62	Low cell type specificity	Low cancer specificity
ERI2	Cell type enriched	Low cancer specificity
TOMM7	Low cell type specificity	Low cancer specificity
HSH2D	Cell type enhanced	Low cancer specificity
TRPV1	Low cell type specificity	Not detected
ZNF33B	Low cell type specificity	Low cancer specificity
ZNF512B	Low cell type specificity	Low cancer specificity
AMZ2	Low cell type specificity	Low cancer specificity
ZNF431	Low cell type specificity	Low cancer specificity
ALKAL1	Not detected	Low cancer specificity
NF1	Low cell type specificity	Low cancer specificity
VKORC1L1	Low cell type specificity	Low cancer specificity
ZNF418	Low cell type specificity	Low cancer specificity
DAPK1	Group enriched	Low cancer specificity
LCE1B	Not detected	Cancer enriched
HLA.DQA1	Cell type enhanced	Low cancer specificity
COL27A1	Cell type enhanced	Low cancer specificity
GM2A	Low cell type specificity	Low cancer specificity
HIST1H2AI	Low cell type specificity	Low cancer specificity
CLPSL2	Cell type enriched	Cancer enhanced
S100A2	Cell type enhanced	Cancer enhanced
ZNF700	Low cell type specificity	Low cancer specificity
POU3F4	Not detected	Cancer enriched
OR14A16	Not detected	Not detected
CD47	Low cell type specificity	Low cancer specificity
OR52K1	Cell type enhanced	Not detected
TLE1	Low cell type specificity	Low cancer specificity
MAML3	Cell type enhanced	Low cancer specificity
HIST1H2AG	Cell type enhanced	Low cancer specificity
STRN3	Low cell type specificity	Low cancer specificity
ZNF239	Low cell type specificity	Low cancer specificity
SPINK14	Not detected	Not detected
SPRR2B	Not detected	Cancer enriched
CHRNG	Low cell type specificity	Cancer enhanced
ZSCAN16	Low cell type specificity	Low cancer specificity
MVB12B	Group enriched	Low cancer specificity
C6orf106	Low cell type specificity	Low cancer specificity
AC008758.1	Low cell type specificity	Not detected
OR11G2	Cell type enriched	Not detected
POTEI	Low cell type specificity	Not detected
ADA	Cell type enhanced	Low cancer specificity
ARID5A	Low cell type specificity	Low cancer specificity
PATE2	Low cell type specificity	Not detected
PPTC7	Low cell type specificity	Low cancer specificity
KRT39	Not detected	Not detected
TOMM20L	Cell type enhanced	Low cancer specificity
RGPD4	Cell type enhanced	Not detected
NHLRC2	Low cell type specificity	Low cancer specificity
HIST1H2AD	Cell type enhanced	Low cancer specificity
ZFP28	Low cell type specificity	Low cancer specificity
KIAA1211L	Cell type enhanced	Low cancer specificity
CBWD3	Low cell type specificity	Not detected
SCN8A	Cell type enhanced	Low cancer specificity
LAMB3	Group enriched	Low cancer specificity
HIST3H2BB	Low cell type specificity	Low cancer specificity
TEX43	Cell type enhanced	Cancer enriched
KPNA5	Low cell type specificity	Low cancer specificity
ANKRD36B	Low cell type specificity	Low cancer specificity
ARHGEF12	Cell type enhanced	Low cancer specificity
HCAR1	Low cell type specificity	Low cancer specificity
PDLIM7	Group enriched	Low cancer specificity
FLNA	Low cell type specificity	Low cancer specificity
TMEM26	Not detected	Low cancer specificity
SRGAP1	Low cell type specificity	Low cancer specificity
FAM3C	Group enriched	Low cancer specificity
NOP9	Low cell type specificity	Low cancer specificity
OR2T4	Not detected	Not detected
ZNF705A	Cell type enhanced	Not detected
SLC39A10	Low cell type specificity	Low cancer specificity
CASP4	Low cell type specificity	Low cancer specificity
AP2A1	Cell type enhanced	Low cancer specificity
ZNF585A	Low cell type specificity	Low cancer specificity
FUT11	Low cell type specificity	Low cancer specificity
SMIM10L2B	Not detected	Low cancer specificity
ANXA4	Low cell type specificity	Low cancer specificity
LAGE3	Low cell type specificity	Low cancer specificity
WDR5B	Low cell type specificity	Low cancer specificity
FAM163B	Not detected	Cancer enriched
NPIPB9	Cell type enhanced	Not detected
WDR45	Low cell type specificity	Low cancer specificity
METTL9	Low cell type specificity	Low cancer specificity
ZNF138	Low cell type specificity	Low cancer specificity
ZNF429	Low cell type specificity	Low cancer specificity
ZNF470	Low cell type specificity	Low cancer specificity
SERTAD1	Low cell type specificity	Low cancer specificity
ZNF100	Low cell type specificity	Low cancer specificity
CXorf40B	Low cell type specificity	Low cancer specificity
ZNF398	Low cell type specificity	Low cancer specificity
ZSCAN25	Low cell type specificity	Low cancer specificity
ANXA6	Low cell type specificity	Low cancer specificity
ZNF441	Low cell type specificity	Low cancer specificity
GMFB	Low cell type specificity	Low cancer specificity
SIGLEC15	Group enriched	Low cancer specificity
ZNF420	Low cell type specificity	Low cancer specificity
ZNF763	Low cell type specificity	Low cancer specificity
ZMYM1	Low cell type specificity	Low cancer specificity
DTHD1	Cell type enhanced	Low cancer specificity
HIST1H4C	Low cell type specificity	Cancer enhanced
ZSCAN26	Low cell type specificity	Low cancer specificity
MAFG	Cell type enhanced	Low cancer specificity
ARRDC1	Low cell type specificity	Low cancer specificity
KIAA1671	Cell type enhanced	Low cancer specificity
KRT35	Not detected	Not detected
IGF2R	Cell type enhanced	Low cancer specificity
LCE1C	Not detected	Cancer enriched
GAL3ST4	Group enriched	Low cancer specificity
DYNC1H1	Low cell type specificity	Low cancer specificity
SLC6A17	Not detected	Cancer enriched
IFNL3	Not detected	Not detected
PCBP2	Low cell type specificity	Low cancer specificity
ZGPAT	Low cell type specificity	Low cancer specificity
SLC25A29	Low cell type specificity	Low cancer specificity
PGAP1	Low cell type specificity	Low cancer specificity
SRC	Cell type enhanced	Low cancer specificity
ZNF679	Not detected	Not detected
ZNF682	Low cell type specificity	Cancer enhanced
OR8B8	Low cell type specificity	Not detected
ZNF772	Low cell type specificity	Low cancer specificity
ZNF257	Low cell type specificity	Cancer enhanced
PCNX3	Low cell type specificity	Low cancer specificity
ADAM32	Low cell type specificity	Not detected
ACSL5	Low cell type specificity	Low cancer specificity
LRRC8B	Low cell type specificity	Low cancer specificity
ABCB8	Low cell type specificity	Low cancer specificity
HIST1H3J	Low cell type specificity	Low cancer specificity
SND1	Low cell type specificity	Low cancer specificity
ZNF785	Low cell type specificity	Low cancer specificity
SULT1A2	Group enriched	Cancer enhanced
NEK5	Cell type enhanced	Low cancer specificity
PSMD12	Low cell type specificity	Low cancer specificity
MAGEA6	Not detected	Low cancer specificity
ADGRA1	Not detected	Cancer enriched
PIWIL2	Not detected	Cancer enriched
NOL4L	Low cell type specificity	Low cancer specificity
CYSRT1	Cell type enhanced	Cancer enhanced
SLC22A4	Cell type enriched	Low cancer specificity
ZSCAN5B	Cell type enhanced	Not detected
ENTPD4	Low cell type specificity	Low cancer specificity
C1D	Low cell type specificity	Low cancer specificity
TBC1D9B	Low cell type specificity	Low cancer specificity
OR1J2	Not detected	Not detected
HIST1H4J	Cell type enhanced	Low cancer specificity
SLC2A7	Cell type enhanced	Not detected
FAM110D	Low cell type specificity	Low cancer specificity
SERPINA1	Group enriched	Cancer enriched
TPSB2	Cell type enriched	Low cancer specificity
KANK2	Low cell type specificity	Low cancer specificity
C6orf141	Not detected	Low cancer specificity
GTF2E2	Low cell type specificity	Low cancer specificity
IL27	Cell type enhanced	Cancer enriched
GUCA2A	Not detected	Group enriched
RAD54B	Group enriched	Low cancer specificity
ZNF165	Cell type enhanced	Low cancer specificity
SYNGAP1	Cell type enhanced	Low cancer specificity
FITM2	Low cell type specificity	Low cancer specificity
BLM	Low cell type specificity	Low cancer specificity
ZNF720	Low cell type specificity	Low cancer specificity
OR10D3	Not detected	Not detected
DDI2	Low cell type specificity	Low cancer specificity
SVIL	Cell type enhanced	Low cancer specificity
TRIM33	Low cell type specificity	Low cancer specificity
LRP10	Cell type enhanced	Low cancer specificity
PELI1	Cell type enhanced	Low cancer specificity
ZNF655	Low cell type specificity	Low cancer specificity
MRPL21	Low cell type specificity	Low cancer specificity
LYPD2	Cell type enriched	Low cancer specificity
UAP1L1	Low cell type specificity	Low cancer specificity
ZNF98	Group enriched	Cancer enhanced
FBXL22	Low cell type specificity	Low cancer specificity
ZNF786	Low cell type specificity	Low cancer specificity
ZNF517	Low cell type specificity	Low cancer specificity
S100A7L2	Not detected	Not detected
ZNF675	Low cell type specificity	Low cancer specificity
SLC22A5	Low cell type specificity	Low cancer specificity
DACT3	Cell type enhanced	Low cancer specificity
ADARB1	Low cell type specificity	Low cancer specificity
ZNF860	Group enriched	Low cancer specificity
HTT	Low cell type specificity	Low cancer specificity
OR6N1	Cell type enriched	Not detected
C5AR1	Cell type enhanced	Low cancer specificity
DIO3	Not detected	Low cancer specificity
CYP2B6	Low cell type specificity	Cancer enhanced
HIST1H3D	Low cell type specificity	Low cancer specificity
DCHS2	Not detected	Not detected
VEPH1	Cell type enhanced	Low cancer specificity
FABP12	Not detected	Cancer enhanced
SHPK	Low cell type specificity	Low cancer specificity
OR51D1	Low cell type specificity	Not detected
IPP	Low cell type specificity	Low cancer specificity
OPALIN	Not detected	Cancer enriched
OR13G1	Not detected	Not detected
MAP3K5	Low cell type specificity	Low cancer specificity
OGDHL	Cell type enriched	Cancer enhanced
CYP2F1	Cell type enriched	Cancer enhanced
GSTK1	Low cell type specificity	Low cancer specificity
HNRNPAB	Low cell type specificity	Low cancer specificity
OR2L5	Not detected	Not detected
STMN3	Group enriched	Low cancer specificity
PDGFA	Low cell type specificity	Low cancer specificity
GYPE	Cell type enhanced	Not detected
COL13A1	Group enriched	Low cancer specificity
SPN	Cell type enhanced	Low cancer specificity
ZNF695	Cell type enriched	Low cancer specificity
PCDHB11	Low cell type specificity	Low cancer specificity
ZNF628	Low cell type specificity	Low cancer specificity
GALP	Not detected	Cancer enhanced
SLC2A10	Cell type enriched	Low cancer specificity
ZNF665	Low cell type specificity	Low cancer specificity
RPF2	Low cell type specificity	Low cancer specificity
SLC28A3	Cell type enhanced	Low cancer specificity
FAM177B	Group enriched	Low cancer specificity
MIB2	Low cell type specificity	Low cancer specificity
OR6Y1	Low cell type specificity	Not detected
MYO5A	Low cell type specificity	Cancer enhanced
GZMM	Cell type enhanced	Low cancer specificity
ATG7	Group enriched	Low cancer specificity
SIPA1L1	Cell type enhanced	Low cancer specificity
TTC30A	Low cell type specificity	Low cancer specificity
SSPO	Not detected	Not detected
ELANE	Group enriched	Group enriched
RAB40C	Cell type enhanced	Low cancer specificity
PIGN	Low cell type specificity	Low cancer specificity
COL4A6	Not detected	Low cancer specificity
ZNF624	Low cell type specificity	Low cancer specificity
HHLA3	Low cell type specificity	Low cancer specificity
HOXA4	Cell type enhanced	Low cancer specificity
TOPORS	Cell type enhanced	Low cancer specificity
BCO2	Cell type enriched	Low cancer specificity
KCNMB2	Not detected	Low cancer specificity
ENTPD6	Low cell type specificity	Low cancer specificity
DMBX1	Cell type enhanced	Low cancer specificity
OR11L1	Not detected	Not detected
ENPP1	Cell type enhanced	Low cancer specificity
CCDC154	Cell type enhanced	Low cancer specificity
FAR1	Low cell type specificity	Low cancer specificity
C5orf42	Low cell type specificity	Low cancer specificity
ZNF841	Low cell type specificity	Low cancer specificity
MFAP5	Low cell type specificity	Low cancer specificity
MYH6	Not detected	Cancer enriched
ZNF615	Low cell type specificity	Low cancer specificity
CXorf40A	Low cell type specificity	Low cancer specificity
CDC42SE1	Low cell type specificity	Low cancer specificity
MPEG1	Group enriched	Low cancer specificity
SERPINB2	Cell type enhanced	Cancer enhanced
DPP4	Cell type enhanced	Low cancer specificity
SERPINB13	Not detected	Cancer enhanced
PDCD1LG2	Low cell type specificity	Low cancer specificity
ZNF433	Low cell type specificity	Low cancer specificity
CCER1	Not detected	Not detected
DNAH10	Cell type enhanced	Cancer enhanced
SLC22A24	Not detected	Cancer enriched
KRTAP26.1	Not detected	Not detected
SPTAN1	Low cell type specificity	Low cancer specificity
NMB	Low cell type specificity	Cancer enhanced
PARVA	Group enriched	Low cancer specificity
KLHL14	Group enriched	Group enriched
OR6C74	Not detected	Not detected
FAM114A1	Group enriched	Low cancer specificity
RPE	Low cell type specificity	Low cancer specificity
ZNF460	Low cell type specificity	Low cancer specificity
CR1L	Not detected	Cancer enhanced
PHF2	Low cell type specificity	Low cancer specificity
RPS26	Low cell type specificity	Low cancer specificity
C14orf178	Low cell type specificity	Not detected
SCGB1D4	Not detected	Cancer enriched
PSAP	Group enriched	Low cancer specificity
S100A10	Low cell type specificity	Low cancer specificity
CFAP43	Cell type enhanced	Low cancer specificity
LHFPL5	Low cell type specificity	Not detected
RPL37A	Low cell type specificity	Low cancer specificity
HOXC6	Not detected	Low cancer specificity
TXNRD3	Cell type enhanced	Low cancer specificity
CFD	Cell type enhanced	Low cancer specificity
STPG3	Not detected	Low cancer specificity
MAP1LC3C	Low cell type specificity	Low cancer specificity
MCMBP	Low cell type specificity	Low cancer specificity
EME2	Not detected	Low cancer specificity
KLHDC1	Low cell type specificity	Low cancer specificity
ZNF81	Low cell type specificity	Low cancer specificity
TAF13	Low cell type specificity	Low cancer specificity
